"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
172,"Спорткомплекс "Долина Уюта"","Мурманская область","ул. Челюскинцев, 2са, Мурманск, Россия, 183038","15.02.2013"
173,"Стадион "Центральный"","Астраханская область","Латышева, 3, Астрахань, Россия, 414056","26.02.2013"
174,"Государственное бюджетное учреждение дополнительного образования детей Астраханской области "СДЮСШОР им. Л.А. Тихомировой"","Астраханская область","Советская , 21, Астрахань, Россия, 414000","15.02.2013"
175,"Государственное бюджетное учреждение "Адыгейский республиканский стадион"","Республика Адыгея","Гагарина, 7, Майкоп, Россия, 385000","15.02.2013"
176,"Федеральный детский оздоровительно-образовательный центр "Смена"","Краснодарский край","поселок Сукко, ул.Приморская, 7, Анапа, Россия, 353408","15.02.2013"
177,""Спортивный зал дзюдо"","Пермский край","Гальперина, Пермь, Россия, 614032","15.02.2013"
178,"Государственное бюджетное учреждение дополнителного образования Астраханской области "Школа высшего спортивного мастерства"","Астраханская область","Бэра, 47са, Астрахань, Россия, 414024","15.02.2013"
179,"Спортивный комплекс "Металлург"","Красноярский край","Карла Маркса, 78, Красноярск, Россия, 660055","28.02.2013"
180,"Муниципальное бюджетное учреждение "Спортивно-культурный комплекс "Олимп" города Невинномысска"","Ставропольский край","Бульвар Мира, 27, Невинномысск, Россия, 357114","25.02.2013"
181,"Муниципальное автономное учреждение стадион "Спартак"","Тамбовская область","Карла Маркса, 165, Тамбов, Россия, 392000","05.03.2013"
182,"Муниципальное бюджетное учреждение "Олимп"","Нижегородская область","Корнилова, 123, Выкса, Россия, 607060","05.03.2013"
183,"Государственное автономное учреждение Свердловской области "Дворец игровых видов спорта"","Свердловская область","Еремина, 10, Екатеринбург, Россия, 620027","11.03.2013"
184,"Спортивный комплекс ГАОУ ДОД "ДЮСШ "Метеор"","Рязанская область","Рязанская , 33са, Михайлов, Россия, 391710","12.03.2013"
185,"Универсальный комплекс "МТЛАрена"","Самарская область","Советской Армии, 253са, Самара, Россия, 443011","13.03.2013"
186,""Дворец спорта"","Самарская область","Молодогвардейская, 222, Самара, Россия, 443011","13.03.2013"
187,"Республиканский шахматно-шашечный центр","Республика Саха (Якутия)","Ярославского, 19с2, Якутск, Россия, 677000","22.03.2013"
188,"Спортивное сооружение "Академия биатлона" КГАУ "РЦСС"","Красноярский край","Биатлонная, 37, Красноярск, Россия, 660093","27.03.2013"
189,"Спортивное сооружение "Ледовый дворец "Арена.Север" КГАУ "РЦСС"","Красноярский край","9 Мая, 74, Красноярск, Россия, 660093","22.03.2013"
190,"Губернский Универсальный Спортивный Комплекс "Лазурный", плавательный бассейн","Кемеровская область","Советский проспект, 70, Кемерово, Россия, 650000","27.03.2013"
