"Номер","Наименование","Субъект РФ","Полный адрес","Дата занесения в реестр"
1761,"Физкультурно-оздоровительный центр МОАУ ДОД ДЮСШ "Свобода" г. Орска","Оренбургская область","Юлина, 3, Орск, Россия, 462432","20.07.2015"
1762,"Дворец спорта "Дельфин" МАУ СК "Нейтрон"","Ульяновская область","пр.Димитрова, 14, Димитровград, Россия, 433506","20.07.2015"
1763,"Спортивный комплекс "Динамо" КРО ОГО ВФСО "Динамо"","Кировская область","Московская, 1в, Киров, Россия, 610000","20.07.2015"
1764,"Межвузовский учебно-спортивный центр (МУСЦ)","Санкт-Петербург","Новоизмайловский пр-кт, 16с6, Санкт-Петербург, Россия, 196128","20.07.2015"
1765,"МБОУ ДОД "Устьянская СДЮСШОР" лыжный комплекс","Архангельская область","17-б, Малиновка, Россия, 165230","20.07.2015"
1766,"МБУ "Спортивный зал "Горняк"","Красноярский край","Строителей, 23, Норильск, Россия, 663330","20.07.2015"
1767,"Дворец спорта "KORAL"","Республика Карелия","Пограничная, 50, Петрозаводск, Россия, 185031","20.07.2015"
1768,"МБОУ ДОД ДЮСШ №5","Красноярский край","Первомайская, 10, Норильск, Россия, 663340","20.07.2015"
1769,"Зал №1 МОУ ДОД СДЮСШОР №9","Ярославская область","Пионерская, 19, Ярославль, Россия, 150044","20.07.2015"
1770,"Комплекс трамплинов","Ленинградская область","Трамплинная, 5, Токсово, Россия, 188664","20.07.2015"
1771,"Здание учебного корпуса ФГБОУ ВО "МГТУ" (спортивный зал)","Республика Адыгея","Первомайская, 191, Майкоп, Россия, 385000","20.07.2015"
1772,"Стрелковый тир","Ханты-Мансийский автономный округ","З.Космодемьянской, 19 Б, Солнечный, Россия, 628452","20.07.2015"
